uid	name	gender	screentime	sids
ch0010188	Olenna Tyrell	female	4745	s00822, s00823, s00824, s00825, s00906, s00907, s00909, s00917, s00918, s00919, s00920, s00954, s00955, s00956, s00996, s01074, s01079, s01080, s01085, s01257, s01258, s01321, s01322, s01323, s01327, s01328, s01329, s01332, s01333, s01334, s01335, s01336, s01342, s01344, s01347, s01354, s01355, s01356, s01357, s01358, s01360, s01373, s01432, s02014, s02016, s02017, s02018, s02019, s02052, s02053, s02059, s02357, s02358, s02401, s02555, s02556, s02557, s02575, s02576, s02580, s02807, s02808, s02878, s02879, s02972, s02974
ch0155775	Viserys Targaryen	male	2195	s00024, s00025, s00026, s00032, s00036, s00083, s00097, s00099, s00114, s00156, s00157, s00166
ch0155776	Robert Baratheon	male	3423	s00020, s00021, s00023, s00028, s00030, s00034, s00045, s00060, s00082, s00117, s00123, s00124, s00138, s00144, s00148, s00160, s00174, s00188
ch0155777	Jon Snow	male	40300	s00013, s00014, s00015, s00019, s00020, s00029, s00040, s00041, s00042, s00043, s00044, s00047, s00050, s00075, s00078, s00084, s00088, s00090, s00096, s00104, s00111, s00112, s00113, s00115, s00171, s00172, s00180, s00181, s00184, s00185, s00202, s00203, s00210, s00211, s00212, s00218, s00233, s00234, s00235, s00239, s00271, s00273, s00282, s00283, s00297, s00298, s00299, s00300, s00324, s00345, s00346, s00347, s00348, s00427, s00429, s00443, s00454, s00457, s00458, s00459, s00485, s00499, s00500, s00505, s00512, s00513, s00535, s00536, s00537, s00548, s00743, s00744, s00761, s00763, s00764, s00765, s00766, s00805, s00828, s00829, s00864, s00947, s00948, s00949, s00984, s00985, s00986, s00991, s00997, s01006, s01007, s01009, s01010, s01015, s01016, s01043, s01045, s01116, s01118, s01119, s01126, s01128, s01130, s01131, s01134, s01135, s01205, s01212, s01213, s01254, s01255, s01403, s01404, s01405, s01433, s01434, s01435, s01436, s01437, s01438, s01444, s01445, s01446, s01447, s01492, s01495, s01499, s01502, s01503, s01504, s01505, s01506, s01507, s01509, s01510, s01556, s01557, s01558, s01580, s01610, s01618, s01620, s01621, s01628, s01630, s01632, s01634, s01639, s01640, s01642, s01644, s01646, s01652, s01654, s01656, s01658, s01659, s01673, s01681, s01682, s01683, s01684, s01685, s01686, s01691, s01693, s01694, s01695, s01696, s01698, s01699, s01700, s01701, s01702, s01703, s01714, s01715, s01716, s01717, s01718, s01752, s01753, s01754, s01755, s01756, s01778, s01779, s01781, s01783, s01786, s01787, s01817, s01818, s01819, s01820, s01849, s01850, s01860, s01861, s01862, s01905, s01908, s01909, s01910, s01911, s01947, s01948, s01949, s01950, s01951, s01952, s01975, s01976, s02027, s02028, s02094, s02095, s02096, s02097, s02098, s02099, s02101, s02103, s02106, s02112, s02114, s02115, s02116, s02117, s02118, s02119, s02120, s02122, s02124, s02125, s02127, s02128, s02129, s02131, s02138, s02140, s02142, s02144, s02145, s02146, s02147, s02148, s02190, s02191, s02242, s02243, s02244, s02245, s02246, s02247, s02248, s02249, s02251, s02252, s02253, s02254, s02256, s02290, s02291, s02303, s02306, s02307, s02334, s02335, s02336, s02337, s02338, s02339, s02340, s02341, s02370, s02371, s02372, s02373, s02374, s02375, s02377, s02378, s02406, s02407, s02408, s02460, s02462, s02463, s02464, s02577, s02578, s02579, s02590, s02593, s02597, s02598, s02680, s02681, s02682, s02683, s02684, s02685, s02686, s02689, s02693, s02694, s02697, s02698, s02699, s02700, s02701, s02702, s02703, s02704, s02707, s02710, s02714, s02716, s02718, s02719, s02720, s02722, s02723, s02724, s02728, s02729, s02730, s02733, s02734, s02735, s02803, s02804, s02805, s02806, s02819, s02820, s02833, s02834, s02836, s02837, s02838, s02869, s02870, s02889, s02890, s02891, s02892, s02893, s02894, s02895, s02926, s02927, s02928, s02929, s02932, s02933, s02947, s02949, s02950, s02994, s02995, s02996, s02997, s02998, s02999, s03000, s03001, s03002, s03003, s03008, s03009, s03011, s03070, s03071, s03072, s03073, s03084, s03097, s03100, s03110, s03111, s03112, s03113, s03114, s03116, s03117, s03118, s03119, s03122, s03126, s03127, s03128, s03129, s03131, s03132, s03133, s03135, s03137, s03138, s03141, s03142, s03143, s03146, s03151, s03152, s03153, s03157, s03158, s03159, s03161, s03162, s03163, s03168, s03169, s03171, s03173, s03180, s03183, s03187, s03206, s03210, s03211, s03215, s03217, s03218, s03219, s03220, s03221, s03222, s03223, s03224, s03225, s03229, s03230, s03231, s03235, s03236, s03237, s03253, s03254, s03257, s03298, s03299, s03305, s03306, s03312, s03313, s03314, s03315, s03316, s03317, s03318, s03325, s03326, s03347, s03349, s03351, s03352, s03353, s03354, s03355, s03356, s03357, s03358, s03359, s03365, s03370, s03371, s03380, s03381, s03382, s03411, s03412, s03418, s03419, s03425, s03426, s03445, s03446, s03447, s03473, s03474, s03504, s03509, s03531, s03546, s03547, s03549, s03550, s03551, s03570, s03578, s03580, s03615, s03641, s03642, s03663, s03664, s03675, s03677, s03678, s03679, s03680, s03681, s03685, s03686, s03691, s03696, s03697, s03701, s03702, s03707, s03711, s03719, s03723, s03725, s03728, s03732, s03743, s03744, s03745, s03746, s03747, s03748, s03751, s03752, s03753, s03754, s03756, s03757, s03758, s03761, s03766, s03767, s03768, s03771, s03774, s03787, s03789, s03790, s03802, s03803, s03804, s03805, s03806, s03807, s03858, s03859, s03860, s03866, s03867, s03868, s03870, s03871, s03876, s03877, s03879, s03899, s03900, s03927, s03928, s03929, s03947, s03948, s03955, s03957, s03959, s03973, s03989, s03990, s03991, s04005, s04008, s04010, s04058, s04062, s04063, s04064, s04075, s04076, s04079, s04084, s04085, s04087, s04088, s04089, s04090, s04091, s04092, s04093, s04094, s04095, s04096, s04098, s04100, s04101, s04102, s04103, s04104, s04105, s04106, s04107, s04108, s04109, s04110, s04112, s04113, s04114, s04122, s04123, s04124, s04125, s04126, s04127, s04128, s04129, s04130, s04137, s04138, s04139, s04143, s04145, s04147, s04150, s04153, s04156, s04157, s04159, s04162, s04163, s04164
ch0158137	Sansa Stark	female	25701	s00013, s00020, s00027, s00030, s00056, s00057, s00060, s00067, s00071, s00100, s00117, s00124, s00163, s00165, s00196, s00199, s00204, s00228, s00253, s00254, s00261, s00262, s00286, s00288, s00359, s00360, s00384, s00385, s00461, s00462, s00463, s00464, s00467, s00469, s00471, s00473, s00488, s00503, s00514, s00515, s00516, s00518, s00519, s00590, s00591, s00593, s00594, s00601, s00602, s00603, s00604, s00633, s00634, s00635, s00636, s00662, s00663, s00664, s00665, s00682, s00683, s00684, s00711, s00712, s00713, s00782, s00783, s00784, s00785, s00818, s00819, s00820, s00821, s00822, s00823, s00824, s00825, s00921, s00977, s00980, s00998, s01000, s01001, s01002, s01005, s01018, s01069, s01070, s01074, s01078, s01079, s01080, s01083, s01089, s01090, s01091, s01092, s01093, s01100, s01182, s01183, s01184, s01188, s01242, s01243, s01244, s01268, s01270, s01271, s01290, s01291, s01292, s01294, s01296, s01325, s01332, s01333, s01334, s01335, s01336, s01340, s01343, s01344, s01347, s01349, s01350, s01352, s01354, s01355, s01356, s01357, s01358, s01359, s01360, s01364, s01367, s01368, s01369, s01370, s01371, s01372, s01431, s01473, s01474, s01475, s01477, s01480, s01570, s01571, s01572, s01573, s01574, s01575, s01590, s01598, s01602, s01757, s01758, s01760, s01793, s01794, s01846, s01858, s01859, s01873, s01874, s01913, s01914, s01957, s01958, s01959, s01960, s01961, s01962, s01963, s01965, s01966, s02020, s02021, s02022, s02023, s02024, s02025, s02026, s02032, s02038, s02039, s02084, s02194, s02197, s02201, s02204, s02206, s02213, s02214, s02216, s02260, s02261, s02262, s02263, s02327, s02328, s02329, s02376, s02377, s02378, s02406, s02407, s02408, s02421, s02422, s02460, s02461, s02462, s02464, s02577, s02578, s02579, s02590, s02593, s02597, s02598, s02599, s02600, s02680, s02681, s02682, s02684, s02685, s02721, s02722, s02723, s02724, s02730, s02734, s02735, s02736, s02806, s02813, s02819, s02820, s02833, s02834, s02836, s02837, s02838, s02848, s02849, s02850, s02851, s02869, s02870, s02890, s02895, s02896, s02897, s02952, s02953, s02954, s02955, s02956, s02957, s02987, s02988, s02989, s02990, s02992, s03006, s03007, s03085, s03086, s03121, s03134, s03154, s03155, s03184, s03185, s03233, s03240, s03241, s03260, s03310, s03313, s03314, s03315, s03316, s03317, s03318, s03321, s03322, s03364, s03365, s03380, s03381, s03401, s03402, s03403, s03404, s03418, s03441, s03459, s03460, s03475, s03481, s03493, s03501, s03520, s03549, s03553, s03569, s03621, s03622, s03668, s03694, s03706, s03710, s03734, s03742, s03746, s03747, s03748, s03753, s03754, s03756, s03758, s03761, s03767, s03768, s03781, s03782, s03783, s03789, s03790, s03798, s03799, s03800, s03801, s03832, s03834, s04119, s04120, s04121, s04130, s04141, s04144, s04148, s04151, s04154, s04160
ch0158221	Jorah Mormont	male	19622	s00032, s00036, s00083, s00087, s00097, s00098, s00116, s00156, s00157, s00166, s00177, s00178, s00179, s00186, s00187, s00213, s00214, s00243, s00268, s00269, s00284, s00285, s00295, s00325, s00394, s00403, s00434, s00435, s00436, s00437, s00438, s00446, s00511, s00522, s00524, s00569, s00570, s00726, s00727, s00728, s00745, s00746, s00747, s00748, s00786, s00787, s00788, s00801, s00802, s00803, s00873, s00874, s00875, s00876, s00877, s00879, s00936, s00937, s00938, s00940, s00942, s00943, s00973, s00975, s01021, s01026, s01027, s01059, s01060, s01061, s01110, s01111, s01137, s01139, s01140, s01147, s01148, s01219, s01220, s01221, s01236, s01237, s01238, s01267, s01406, s01407, s01408, s01409, s01411, s01412, s01416, s01424, s01425, s01471, s01472, s01531, s01532, s01533, s01562, s01563, s01593, s01594, s01595, s01884, s01888, s01889, s01922, s01981, s01982, s01983, s01984, s01986, s01987, s01991, s01997, s01998, s01999, s02048, s02049, s02060, s02062, s02063, s02064, s02065, s02066, s02073, s02074, s02088, s02176, s02178, s02179, s02180, s02182, s02184, s02227, s02228, s02282, s02390, s02391, s02392, s02394, s02412, s02420, s02452, s02453, s02860, s02875, s02876, s02883, s02884, s02958, s02959, s03073, s03084, s03098, s03099, s03100, s03110, s03111, s03112, s03113, s03114, s03116, s03117, s03118, s03119, s03122, s03124, s03129, s03131, s03132, s03133, s03135, s03136, s03137, s03141, s03142, s03143, s03146, s03151, s03152, s03153, s03157, s03158, s03159, s03161, s03162, s03163, s03164, s03165, s03176, s03177, s03179, s03181, s03206, s03210, s03211, s03215, s03217, s03218, s03219, s03220, s03221, s03222, s03223, s03224, s03225, s03230, s03231, s03235, s03313, s03314, s03315, s03366, s03367, s03380, s03381, s03382, s03383, s03386, s03387, s03400, s03418, s03437, s03438, s03444, s03471, s03472, s03478, s03479, s03487, s03488, s03502, s03507, s03530, s03558, s03605, s03608, s03612, s03620, s03637, s03645, s03646, s03648, s03649, s03683, s03687, s03700, s03704, s03709, s03714, s03721, s03731, s03736, s03737, s03741, s03753
ch0158526	Theon Greyjoy	male	15675	s00013, s00014, s00015, s00019, s00020, s00030, s00034, s00052, s00093, s00094, s00095, s00126, s00127, s00152, s00153, s00164, s00170, s00205, s00215, s00220, s00224, s00226, s00230, s00237, s00251, s00263, s00307, s00308, s00326, s00327, s00335, s00336, s00337, s00338, s00339, s00356, s00357, s00367, s00368, s00420, s00421, s00422, s00423, s00449, s00450, s00451, s00452, s00453, s00487, s00489, s00495, s00496, s00497, s00510, s00532, s00533, s00534, s00571, s00573, s00719, s00720, s00721, s00812, s00842, s00843, s00870, s00871, s00887, s00888, s00911, s00912, s00913, s00992, s01041, s01042, s01192, s01280, s01288, s01525, s01526, s01527, s01529, s01584, s01585, s01586, s01587, s01588, s01597, s01844, s01845, s01858, s01873, s01963, s01964, s01966, s02023, s02024, s02025, s02026, s02031, s02032, s02033, s02034, s02039, s02084, s02214, s02216, s02260, s02261, s02262, s02263, s02327, s02329, s02402, s02403, s02440, s02441, s02443, s02445, s02447, s02449, s02595, s02596, s02691, s02823, s02878, s02903, s02904, s02906, s02907, s02909, s02918, s02919, s02922, s02924, s02935, s03010, s03011, s03205, s03210, s03211, s03215, s03217, s03218, s03219, s03220, s03221, s03222, s03223, s03224, s03225, s03230, s03231, s03235, s03236, s03237, s03238, s03239, s03341, s03342, s03404, s03418, s03441, s03453, s03455, s03557, s03579, s03623, s03673, s03676, s03677, s03695, s03703, s03712, s03717, s03718, s03720, s03742, s03753
ch0158597	Daenerys Targaryen	female	31667	s00024, s00025, s00026, s00032, s00033, s00036, s00046, s00049, s00054, s00055, s00083, s00086, s00089, s00097, s00098, s00114, s00116, s00149, s00156, s00166, s00176, s00177, s00179, s00186, s00187, s00213, s00214, s00240, s00243, s00268, s00269, s00270, s00274, s00275, s00284, s00285, s00295, s00296, s00325, s00394, s00403, s00431, s00432, s00433, s00434, s00435, s00436, s00437, s00444, s00445, s00446, s00474, s00475, s00492, s00493, s00504, s00511, s00523, s00524, s00569, s00570, s00726, s00727, s00729, s00738, s00739, s00740, s00741, s00742, s00745, s00746, s00747, s00748, s00749, s00786, s00787, s00788, s00800, s00801, s00802, s00803, s00873, s00874, s00875, s00876, s00877, s00878, s00879, s00936, s00937, s00938, s00939, s00940, s00942, s00943, s00972, s00973, s00974, s01021, s01026, s01027, s01028, s01059, s01060, s01061, s01096, s01097, s01098, s01099, s01110, s01111, s01146, s01147, s01148, s01219, s01220, s01221, s01222, s01223, s01235, s01236, s01237, s01238, s01239, s01240, s01263, s01264, s01265, s01266, s01267, s01406, s01407, s01408, s01409, s01411, s01412, s01413, s01414, s01416, s01418, s01424, s01425, s01426, s01428, s01471, s01472, s01531, s01532, s01533, s01560, s01563, s01582, s01594, s01709, s01710, s01711, s01712, s01713, s01750, s01773, s01774, s01775, s01776, s01809, s01810, s01827, s01828, s01829, s01830, s01831, s01832, s01833, s01923, s01924, s01925, s01927, s01929, s01931, s01941, s01942, s01943, s01944, s01945, s01979, s01980, s02050, s02061, s02063, s02064, s02066, s02073, s02086, s02172, s02173, s02174, s02175, s02176, s02178, s02179, s02180, s02181, s02182, s02183, s02184, s02231, s02232, s02284, s02286, s02287, s02347, s02348, s02349, s02350, s02393, s02394, s02410, s02411, s02413, s02415, s02416, s02418, s02419, s02420, s02452, s02453, s02507, s02563, s02565, s02657, s02667, s02668, s02669, s02670, s02672, s02673, s02676, s02691, s02809, s02810, s02824, s02861, s02862, s02863, s02864, s02865, s02867, s02868, s02878, s02879, s02932, s02933, s02934, s02948, s02949, s02950, s02961, s02965, s02993, s02994, s02995, s02996, s02997, s02998, s02999, s03000, s03001, s03002, s03003, s03019, s03027, s03029, s03030, s03031, s03039, s03040, s03046, s03047, s03048, s03049, s03051, s03052, s03053, s03054, s03056, s03057, s03058, s03066, s03067, s03070, s03071, s03072, s03073, s03084, s03099, s03100, s03130, s03156, s03159, s03161, s03162, s03163, s03164, s03165, s03176, s03177, s03179, s03181, s03183, s03187, s03221, s03222, s03223, s03224, s03225, s03229, s03230, s03231, s03235, s03254, s03257, s03298, s03299, s03305, s03306, s03309, s03312, s03313, s03314, s03315, s03316, s03317, s03318, s03347, s03349, s03351, s03352, s03353, s03356, s03357, s03358, s03359, s03366, s03367, s03380, s03381, s03382, s03383, s03386, s03400, s03401, s03402, s03403, s03404, s03418, s03419, s03420, s03445, s03446, s03447, s03474, s03504, s03509, s03531, s03545, s03546, s03549, s03550, s03552, s03556, s03570, s03578, s03599, s03613, s03662, s03663, s03664, s03679, s03680, s03682, s03684, s03685, s03697, s03698, s03699, s03700, s03704, s03709, s03714, s03721, s03731, s03736, s03737, s03741, s03744, s03745, s03746, s03747, s03748, s03752, s03753, s03754, s03756, s03757, s03758, s03761, s03767, s03768, s03771, s03772, s03773, s03774, s03775, s03787, s03789, s03797, s03798, s03800, s03811, s03812, s03813, s03814, s03815, s03816, s03817, s03829, s03838, s03840, s03842, s03843, s03844, s03847, s03849, s03851, s03852, s03853, s03862, s03866, s03867, s03868, s03869, s03870, s03871, s03872, s03873, s03913, s03916, s03917, s03918, s03920, s03922, s03924, s03926, s03928, s03933, s03935, s03937, s03941, s03943, s03945, s03952, s03954, s03956, s03964, s03965, s03967, s03968, s03970, s03976, s03978, s03980, s03982, s03984, s03986, s03988, s03996, s03998, s04000, s04002, s04007, s04011, s04013, s04015, s04017, s04021, s04027, s04033, s04039, s04059, s04063, s04065, s04068, s04089, s04091, s04092, s04093, s04094, s04095, s04096, s04097, s04098, s04099, s04100, s04102, s04104, s04111, s04112, s04113, s04114, s04115
ch0172909	Illyrio Mopatis	male	654	s00025, s00026, s00032, s00130
ch0241346	Barristan Selmy	male	6577	s00082, s00117, s00121, s00122, s00124, s00160, s00174, s00175, s00191, s00228, s00802, s00803, s00873, s00874, s00875, s00876, s00877, s00879, s00936, s00937, s00938, s00940, s00942, s00973, s00975, s01021, s01026, s01027, s01059, s01060, s01061, s01110, s01111, s01146, s01147, s01148, s01219, s01220, s01221, s01238, s01267, s01406, s01407, s01408, s01409, s01411, s01412, s01414, s01416, s01418, s01424, s01425, s01426, s01471, s01531, s01532, s01533, s01592, s01593, s01594, s01709, s01710, s01711, s01750, s01773, s01809, s01810, s01827, s01828, s01829, s01830, s01831, s01923, s01924, s01935, s01939, s01941
ch0246936	Maester Aemon	male	2081	s00088, s00180, s00239, s01207, s01255, s01256, s01403, s01614, s01714, s01715, s01819, s01820, s01946, s01947, s01948, s02030, s02036, s02037
ch0246938	Alliser Thorne	male	4070	s00075, s00096, s00113, s00115, s00180, s00210, s01255, s01256, s01385, s01403, s01405, s01435, s01436, s01438, s01446, s01447, s01557, s01558, s01621, s01628, s01630, s01632, s01636, s01637, s01660, s01753, s01779, s01784, s01819, s01820, s01860, s01861, s01950, s02027, s02028, s02029, s02037, s02139, s02141, s02143, s02147, s02148, s02246, s02247, s02255, s02290, s02303, s02304, s02305, s02372, s02373
ch0248504	Doreah	female	3037	s00036, s00049, s00054, s00099, s00114, s00156, s00166, s00177, s00179, s00213, s00214, s00243, s00295, s00325, s00394, s00431, s00432, s00433, s00745, s00746
ch0249444	Irri	female	2875	s00036, s00049, s00083, s00086, s00087, s00114, s00149, s00156, s00166, s00177, s00179, s00213, s00214, s00243, s00269, s00325, s00432, s00433, s00493
ch0251495	Rakharo	male	2648	s00083, s00087, s00177, s00179, s00186, s00213, s00214, s00240, s00243, s00269, s00284, s00285, s00295, s00296, s00325
ch0251737	Jon Arryn	male	121	s00016
ch0300217	Yara Greyjoy	female	4435	s00336, s00337, s00339, s00356, s00357, s00368, s00421, s00422, s00533, s00534, s01196, s01197, s01516, s01518, s01520, s01522, s01524, s01525, s01526, s01527, s01528, s02330, s02331, s02332, s02403, s02440, s02441, s02443, s02445, s02447, s02449, s02595, s02596, s02691, s02823, s02878, s02903, s02904, s02906, s02907, s02909, s02917, s02919, s02920, s02937, s02938, s02939, s03329, s03340, s03341, s03342, s04119, s04120, s04121
ch0305044	Jhiqui	female	299	s00036, s00049
ch0309687	Ellaria Sand	female	2794	s01228, s01229, s01230, s01231, s01232, s01233, s01317, s01319, s01321, s01323, s01331, s01343, s01345, s01353, s01394, s01395, s01606, s01607, s01608, s01609, s01801, s01802, s01803, s01804, s01920, s01921, s02007, s02012, s02152, s02167, s02168, s02223, s02225, s02272, s02273, s02274, s02807, s02808, s02878, s02903, s02908, s02915, s02937, s02938, s02939, s02940, s02941
ch0316923	Missandei	female	13697	s00801, s00875, s00877, s00878, s00879, s00936, s00937, s00938, s00942, s00943, s00974, s01025, s01026, s01060, s01061, s01096, s01097, s01098, s01099, s01146, s01147, s01148, s01219, s01220, s01221, s01238, s01239, s01240, s01263, s01264, s01266, s01267, s01406, s01407, s01408, s01409, s01411, s01412, s01414, s01416, s01417, s01418, s01425, s01471, s01531, s01532, s01533, s01581, s01582, s01583, s01594, s01709, s01711, s01712, s01750, s01751, s01773, s01809, s01827, s01828, s01829, s01830, s01831, s01925, s01927, s01929, s01931, s01940, s01978, s01979, s02073, s02172, s02173, s02174, s02175, s02176, s02178, s02179, s02180, s02182, s02184, s02228, s02229, s02317, s02352, s02353, s02386, s02387, s02388, s02389, s02454, s02635, s02637, s02656, s02657, s02669, s02670, s02671, s02677, s02678, s02824, s02861, s02862, s02864, s02867, s02868, s02878, s02881, s02926, s02927, s02928, s02929, s02932, s02933, s02934, s02961, s02965, s02993, s02994, s02995, s02996, s02998, s02999, s03000, s03001, s03002, s03003, s03009, s03011, s03206, s03210, s03211, s03215, s03217, s03218, s03219, s03220, s03221, s03222, s03223, s03224, s03225, s03230, s03231, s03235, s03304, s03314, s03315, s03380, s03381, s03382, s03383, s03418, s03423, s03424, s03443, s03569, s03621, s03622, s03668, s03694, s03734, s03745, s03746, s03747, s03748, s03753, s03756, s03789, s03809, s03816, s03817, s03819, s03828, s03839, s03840, s03842, s03843, s03847, s03849, s03850, s03851, s03852, s03853
ch0335038	Grey Worm	male	10921	s00974, s01021, s01026, s01059, s01060, s01061, s01110, s01137, s01139, s01140, s01147, s01148, s01240, s01241, s01267, s01412, s01417, s01418, s01420, s01422, s01425, s01471, s01531, s01532, s01533, s01581, s01583, s01594, s01709, s01711, s01712, s01750, s01751, s01773, s01806, s01807, s01808, s01809, s01827, s01828, s01829, s01830, s01831, s01934, s01936, s01938, s01939, s01940, s01978, s02228, s02229, s02317, s02352, s02353, s02386, s02387, s02388, s02389, s02454, s02635, s02656, s02657, s02669, s02670, s02671, s02677, s02678, s02823, s02861, s02862, s02864, s02867, s02868, s02878, s02880, s02881, s02963, s02966, s02968, s02969, s03190, s03235, s03304, s03314, s03315, s03318, s03380, s03381, s03382, s03383, s03384, s03385, s03396, s03418, s03422, s03424, s03443, s03466, s03484, s03490, s03511, s03522, s03537, s03576, s03583, s03595, s03597, s03603, s03604, s03612, s03646, s03687, s03701, s03708, s03745, s03746, s03747, s03748, s03753, s03756, s03766, s03789, s03809, s03819, s03823, s03826, s03829, s03838, s03840, s03842, s03843, s03844, s03847, s03849, s03851, s03852, s03853, s03864, s03865, s03866, s03867, s03868, s03869, s03870, s03872, s03899, s03900, s03927, s03928, s03929, s03931, s03947, s03948, s03989, s03991, s03993, s03995, s04078, s04079, s04088, s04089, s04090, s04091, s04092, s04093, s04094, s04095, s04096, s04098, s04100, s04118, s04119, s04120, s04121, s04127, s04128
ch0335040	Daario Naharis	male	5572	s01060, s01068, s01095, s01097, s01098, s01099, s01110, s01137, s01138, s01140, s01148, s01219, s01220, s01221, s01240, s01241, s01264, s01265, s01267, s01409, s01411, s01412, s01413, s01414, s01415, s01416, s01471, s01560, s01562, s01772, s01773, s01774, s01806, s01807, s01808, s01809, s01827, s01828, s01829, s01830, s01831, s01924, s01925, s01927, s01929, s01931, s01941, s01942, s01943, s01944, s02050, s02172, s02173, s02174, s02175, s02176, s02178, s02179, s02180, s02182, s02184, s02227, s02228, s02282, s02390, s02391, s02392, s02394, s02412, s02420, s02452, s02453, s02563, s02564, s02565, s02675, s02809
ch0384328	Mace Tyrell	male	3869	s01290, s01291, s01292, s01294, s01296, s01316, s01317, s01319, s01323, s01328, s01347, s01354, s01355, s01356, s01357, s01358, s01461, s01462, s01467, s01534, s01535, s01538, s01539, s01540, s01541, s01542, s01543, s01544, s01546, s01547, s01548, s01605, s01607, s01608, s01609, s01762, s01813, s01839, s01867, s01892, s01893, s02159, s02160, s02161, s02162, s02357, s02358, s02552, s02554, s02555, s02556, s02557, s02631, s02632, s02633, s02740, s02747, s02751, s02768, s02775, s02777, s02779, s02785
ch0540082	Hoster Tully	male	131	s00853
ch0540097	Arthur Dayne	male	286	s02343, s02344
ch0541362	Aerys II Targaryen	male	0	
ui0000001	Aegon Targaryen	male	0	
ui0000003	Drogon	male	6517	s00032, s00046, s00049, s00055, s00089, s00149, s00157, s00284, s00285, s00295, s00431, s00432, s00494, s00742, s00745, s00746, s00749, s00786, s00787, s00937, s00939, s00944, s01026, s01028, s01220, s01222, s01223, s01235, s01236, s01530, s01833, s01983, s02180, s02181, s02182, s02183, s02184, s02231, s02507, s02565, s02657, s02670, s02672, s02673, s02676, s02823, s02825, s02861, s02929, s02999, s03001, s03003, s03019, s03027, s03029, s03030, s03031, s03034, s03037, s03039, s03040, s03046, s03047, s03048, s03049, s03051, s03052, s03053, s03054, s03056, s03057, s03058, s03064, s03066, s03067, s03070, s03071, s03156, s03159, s03161, s03162, s03163, s03164, s03165, s03178, s03221, s03306, s03307, s03308, s03310, s03311, s03353, s03356, s03357, s03359, s03461, s03473, s03545, s03546, s03549, s03550, s03552, s03556, s03570, s03578, s03599, s03613, s03624, s03627, s03662, s03663, s03664, s03679, s03680, s03682, s03684, s03685, s03697, s03698, s03737, s03797, s03798, s03800, s03811, s03812, s03813, s03814, s03815, s03816, s03817, s03840, s03842, s03843, s03846, s03853, s03867, s03868, s03913, s03916, s03917, s03918, s03920, s03922, s03924, s03926, s03928, s03933, s03935, s03937, s03941, s03943, s03945, s03952, s03954, s03956, s03964, s03965, s03967, s03968, s03970, s03976, s03978, s03980, s03982, s03984, s03986, s03988, s03996, s03998, s04000, s04002, s04007, s04011, s04013, s04015, s04017, s04021, s04027, s04033, s04039, s04059, s04063, s04065, s04068, s04089, s04091, s04093, s04094, s04095, s04096, s04098, s04109, s04114, s04115
ui0000016	Rhaegal	male	3915	s00032, s00046, s00049, s00055, s00089, s00149, s00157, s00284, s00285, s00432, s00494, s00742, s00745, s00746, s00749, s00786, s00944, s01026, s01220, s01223, s01235, s01236, s01713, s01775, s01943, s01944, s01945, s02319, s02673, s02676, s02823, s02825, s02861, s02929, s02949, s02999, s03001, s03003, s03071, s03156, s03159, s03161, s03162, s03163, s03164, s03175, s03176, s03221, s03306, s03307, s03308, s03310, s03311, s03353, s03354, s03355, s03356, s03357, s03359, s03461, s03473, s03546, s03547, s03549, s03550, s03551, s03570, s03578, s03580, s03615, s03642, s03663, s03664, s03675, s03677, s03678, s03679, s03680, s03681, s03797, s03798, s03800, s03811, s03812
ui0000017	Rhaegar Targaryen	male	30	s03252
ui0000019	Rhaella Targaryen	female	0	
ui0000020	Rhaenys Targaryen	female	0	
ui0000021	Rickard Stark	male	15	s02474
ui0000024	Viserion	male	3533	s00032, s00046, s00049, s00055, s00089, s00149, s00157, s00284, s00285, s00432, s00494, s00742, s00745, s00746, s00749, s00786, s00944, s01026, s01220, s01223, s01235, s01236, s01713, s01775, s01943, s01944, s01945, s02319, s02673, s02676, s02823, s02825, s02861, s02929, s02949, s02999, s03001, s03003, s03071, s03156, s03159, s03161, s03162, s03188, s03189, s03274, s03276, s03278, s03280, s03282, s03284, s03286, s03288, s03292, s03625, s03626, s03642, s03662, s03663, s03674, s03675, s03677, s03678, s03679, s03680, s03707, s03711, s03719, s03723, s03725, s03728
